id,created_at,edit_history_tweet_ids,id,public_metrics,text,cleaned_text,polarity,engagement_score
1608972880984801283,2022-12-30 23:46:42,[1608972880984801283],1608972880984801283,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",DaBaby DaBaby Jay Z Kanye West Polo G PewDiePie Elon Musk Addison Rae https://t.co/dT7ousNEnO,dababy dababy jay z kanye west polo g pewdiepie elon musk addison rae ,0.0,0
1608972875456983040,2022-12-30 23:46:41,[1608972875456983040],1608972875456983040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Elon Musk's text messages are a skeleton key for the final, halcyon days of the tech boom, @cwarzel writes. https://t.co/FqQiWvxVCZ",elon musks text messages are a skeleton key for the final halcyon days of the tech boom  writes ,0.0,0
1608972873443704839,2022-12-30 23:46:40,[1608972873443704839],1608972873443704839,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Elon Musk's Thought Police does not like Serbs to be criticized.  They pulled me over and prohibited my comments.  I have to say something nice.  Serbs are not nice.,elon musks thought police does not like serbs to be criticized  they pulled me over and prohibited my comments  i have to say something nice  serbs are not nice,0.15,0
1608972855420518401,2022-12-30 23:46:36,[1608972855420518401],1608972855420518401,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","If Elon Musk was smart, he would tweet that you will never see Greta Thunberg slap down Andrew Tate on Mastodon.",if elon musk was smart he would tweet that you will never see greta thunberg slap down andrew tate on mastodon,0.029365079365079344,0
1608972830846382080,2022-12-30 23:46:30,[1608972830846382080],1608972830846382080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Twitter will soon let you swipe between tweets, topics, and trends https://t.co/x6eXMG6JVD via @Verge",twitter will soon let you swipe between tweets topics and trends  via ,0.0,0
1608972804904603649,2022-12-30 23:46:24,[1608972804904603649],1608972804904603649,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Elon Musk has been a true patriot by making Twitter transparent and no longer a private club for leftists! I pray he remains CEO !,elon musk has been a true patriot by making twitter transparent and no longer a private club for leftists i pray he remains ceo ,0.175,0
1608972793814687744,2022-12-30 23:46:21,[1608972793814687744],1608972793814687744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#北京 #大兴 #朝阳 #丰台 #望京 “If som Hthing  ooimportant  Hnough,  Hv Hn if th H odds ar H stack Hd against you, you should still do  oo.” —Elon Musk  https://t.co/dv7mseKkO0",北京 大兴 朝阳 丰台 望京 “if som hthing  ooimportant  hnough  hv hn if th h odds ar h stack hd against you you should still do  oo” —elon musk  ,0.0,0
1608972776433659905,2022-12-30 23:46:17,[1608972776433659905],1608972776433659905,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Elon Musk Agrees With An Old Enemy On Growing Problem https://t.co/CpP2qfPmvj,elon musk agrees with an old enemy on growing problem ,0.1,0
1608972761074135040,2022-12-30 23:46:14,[1608972761074135040],1608972761074135040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Elon Musk doubles down attacks on ‘creepy’ Dr Fauci despite backlash https://t.co/VAb7KpeLSs,elon musk doubles down attacks on ‘creepy’ dr fauci despite backlash ,-0.3277777777777778,0
1608972723036000256,2022-12-30 23:46:05,[1608972723036000256],1608972723036000256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Twitter employees are bringing their own #toiletpaper to work as Elon #Musk keeps #cuttingcosts like crazy’ https://t.co/j8ZyP51Xsx, employees are bringing their own  to work as elon  keeps  like crazy’ ,0.0,0
